Mach,alpha_deg,Reynolds,CA
0.9,0.0,10000000.0,0.49
1.2,0.0,10000000.0,0.91
2.0,0.0,10000000.0,0.706
3.0,0.0,10000000.0,0.589
4.0,0.0,10000000.0,0.52
5.0,0.0,10000000.0,0.469
0.29,2.0,10000000.0,0.427
0.3,2.0,10000000.0,0.427
0.5,2.0,10000000.0,0.423
0.7,2.0,10000000.0,0.416
0.9,2.0,10000000.0,0.489
1.2,2.0,10000000.0,0.909
2.0,2.0,10000000.0,0.706
3.0,2.0,10000000.0,0.589
4.0,2.0,10000000.0,0.52
5.0,2.0,10000000.0,0.469
0.29,4.0,10000000.0,0.417
0.3,4.0,10000000.0,0.417
0.5,4.0,10000000.0,0.413
0.7,4.0,10000000.0,0.407
0.9,4.0,10000000.0,0.487
1.2,4.0,10000000.0,0.904
2.0,4.0,10000000.0,0.704
3.0,4.0,10000000.0,0.589
4.0,4.0,10000000.0,0.521
5.0,4.0,10000000.0,0.47
0.29,6.0,10000000.0,0.402
0.3,6.0,10000000.0,0.402
0.5,6.0,10000000.0,0.398
0.7,6.0,10000000.0,0.393
0.9,6.0,10000000.0,0.483
1.2,6.0,10000000.0,0.896
2.0,6.0,10000000.0,0.7
3.0,6.0,10000000.0,0.588
4.0,6.0,10000000.0,0.521
5.0,6.0,10000000.0,0.471
0.29,8.0,10000000.0,0.379
0.3,8.0,10000000.0,0.379
0.5,8.0,10000000.0,0.376
0.7,8.0,10000000.0,0.371
0.9,8.0,10000000.0,0.477
1.2,8.0,10000000.0,0.886
2.0,8.0,10000000.0,0.696
3.0,8.0,10000000.0,0.587
4.0,8.0,10000000.0,0.522
5.0,8.0,10000000.0,0.472
0.29,10.0,10000000.0,0.358
0.3,10.0,10000000.0,0.358
0.5,10.0,10000000.0,0.355
0.7,10.0,10000000.0,0.35
0.9,10.0,10000000.0,0.471
1.2,10.0,10000000.0,0.873
2.0,10.0,10000000.0,0.69
3.0,10.0,10000000.0,0.585
4.0,10.0,10000000.0,0.522
5.0,10.0,10000000.0,0.474
0.29,12.0,10000000.0,0.356
0.3,12.0,10000000.0,0.355
0.5,12.0,10000000.0,0.353
0.7,12.0,10000000.0,0.347
0.9,12.0,10000000.0,0.47
1.2,12.0,10000000.0,0.856
2.0,12.0,10000000.0,0.682
3.0,12.0,10000000.0,0.584
4.0,12.0,10000000.0,0.523
5.0,12.0,10000000.0,0.477
0.29,14.0,10000000.0,0.361
0.3,14.0,10000000.0,0.361
0.5,14.0,10000000.0,0.358
0.7,14.0,10000000.0,0.352
0.9,14.0,10000000.0,0.469
1.2,14.0,10000000.0,0.838
2.0,14.0,10000000.0,0.674
3.0,14.0,10000000.0,0.582
4.0,14.0,10000000.0,0.524
5.0,14.0,10000000.0,0.479
0.29,16.0,10000000.0,0.362
0.3,16.0,10000000.0,0.362
0.5,16.0,10000000.0,0.358
0.7,16.0,10000000.0,0.351
0.9,16.0,10000000.0,0.464
1.2,16.0,10000000.0,0.816
2.0,16.0,10000000.0,0.664
3.0,16.0,10000000.0,0.579
4.0,16.0,10000000.0,0.525
5.0,16.0,10000000.0,0.482
0.29,18.0,10000000.0,0.352
0.3,18.0,10000000.0,0.352
0.5,18.0,10000000.0,0.348
0.7,18.0,10000000.0,0.339
0.9,18.0,10000000.0,0.448
1.2,18.0,10000000.0,0.793
2.0,18.0,10000000.0,0.654
3.0,18.0,10000000.0,0.576
4.0,18.0,10000000.0,0.526
5.0,18.0,10000000.0,0.486
0.29,20.0,10000000.0,0.337
0.3,20.0,10000000.0,0.337
0.5,20.0,10000000.0,0.331
0.7,20.0,10000000.0,0.32
0.9,20.0,10000000.0,0.421
1.2,20.0,10000000.0,0.767
2.0,20.0,10000000.0,0.642
3.0,20.0,10000000.0,0.573
4.0,20.0,10000000.0,0.527
5.0,20.0,10000000.0,0.489
0.29,0.0,30000000.0,0.431
0.3,0.0,30000000.0,0.43
0.5,0.0,30000000.0,0.426
0.7,0.0,30000000.0,0.42
0.9,0.0,30000000.0,0.49
1.2,0.0,30000000.0,0.91
2.0,0.0,30000000.0,0.706
3.0,0.0,30000000.0,0.586
4.0,0.0,30000000.0,0.498
5.0,0.0,30000000.0,0.448
0.29,2.0,30000000.0,0.426
0.3,2.0,30000000.0,0.426
