time_s,thrust_N,mass_flow_kg_s
3.47,51636.6,21.224474696655815
3.48,51680.1,21.24235474006116
3.5,51723.9,21.260358094110682
3.51,51767.9,21.27844365525632
3.53,51812.2,21.29665252704613
3.54,51856.8,21.31498470948012
3.55,51901.6,21.333399099010226
3.57,51946.6,21.351895695636447
3.58,51992.0,21.3705567064549
3.6,52037.5,21.38925882082141
3.61,52083.4,21.408125349380157
3.62,52129.5,21.42707408503502
3.64,52175.8,21.446105027786
3.65,52222.4,21.46525928118115
3.67,52269.2,21.48449574167242
3.68,52316.3,21.503855512807867
3.69,52363.7,21.523338594587482
3.71,52411.3,21.54290388346322
3.72,52459.2,21.562592482983128
3.74,52507.3,21.582363289599158
3.75,52555.7,21.60225740685936
3.76,52604.3,21.62223373121568
3.78,52653.2,21.64233336621617
3.79,52702.3,21.662515208312783
3.81,52751.7,21.682820361053565
3.82,52801.3,21.703207720890468
3.83,52851.2,21.72371839137154
3.85,52901.4,21.744352372496795
3.86,52951.8,21.765068560718163
3.88,53002.4,21.785866956035644
3.89,53053.3,21.806788661997302
3.9,53104.5,21.827833678603135
3.92,53155.9,21.848960902305087
3.93,53207.6,21.87021143665121
3.95,53259.5,21.89154417809345
3.96,53311.6,21.912959126631808
3.97,53364.0,21.934497385814343
3.99,53416.7,21.956158955641047
4.0,53469.6,21.977902732563873
4.02,53522.7,21.999728716582812
4.03,53576.1,22.02167801124593
4.04,53629.7,22.04370951300516
4.06,53683.6,22.06586432540857
4.07,53737.8,22.08814244845615
4.09,53792.2,22.110502778599848
4.1,53846.8,22.132945315839663
4.11,53901.8,22.155552267271712
4.13,53957.4,22.17840583999211
4.14,54013.5,22.201464930452797
4.16,54070.2,22.224770642201833
4.17,54127.5,22.248322975239223
4.18,54185.3,22.272080826016904
4.2,54243.3,22.295920883890698
4.21,54301.3,22.319760941764493
4.23,54359.2,22.343559896090227
4.24,54416.4,22.36707112557956
4.25,54472.8,22.390253526684425
4.27,54528.0,22.412942685212588
4.28,54581.7,22.435015290519875
4.3,54633.5,22.456306928414058
4.31,54683.0,22.476653184702904
4.32,54729.9,22.495930748742232
4.34,54773.8,22.51397520633981
4.35,54814.1,22.53053993620729
4.37,54850.4,22.545460524152446
4.38,54882.2,22.558531452434973
4.39,54908.1,22.569177271382063
4.41,54926.7,22.5768225313209
4.42,54936.8,22.58097398967479
4.44,54937.9,22.58142612870343
4.45,54929.8,22.57809674131071
4.46,54912.8,22.571109138140805
4.48,54887.7,22.560792147578177
4.49,54855.5,22.547556805103415
4.5,54817.9,22.532101871033507
4.52,54776.7,22.5151672092335
4.53,54732.9,22.497163855183977
4.55,54686.8,22.478215119529118
4.56,54639.0,22.458567623557265
4.57,54589.6,22.43826247081648
4.59,54539.3,22.417587386143172
4.6,54488.4,22.396665680181513
4.62,54437.4,22.375702870671795
4.63,54386.9,22.35494557890237
4.64,54337.5,22.334640426161585
4.66,54289.7,22.31499293018973
4.67,54244.9,22.29657854065963
4.69,54204.4,22.27993160369603
4.7,54169.1,22.26542205123146
4.71,54139.6,22.25329650455427
4.73,54116.0,22.243596067212522
4.74,54098.1,22.23623853211009
4.76,54085.4,22.23101838150669
4.77,54076.9,22.227524579921738
4.78,54071.4,22.225263884778535
4.8,54067.2,22.223537535760084
4.81,54063.9,22.222181118674165
4.83,54061.5,22.221194633520764
4.84,54059.8,22.220495873203774
4.85,54059.0,22.22016704481931
4.87,54058.9,22.22012594127125
4.88,54059.4,22.22033145901154
4.9,54060.5,22.22078359804018
4.91,54062.0,22.221400151261054
4.92,54064.0,22.22222222222222
4.94,54066.2,22.223126500279502
4.95,54068.6,22.2241129854329
4.97,54071.3,22.225222781230475
4.98,54074.2,22.226414784124163
4.99,54077.4,22.22773009766203
5.01,54081.6,22.229456446680476
5.02,54087.0,22.231676038275623
5.04,54092.6,22.233977836966886
5.05,54098.3,22.23632073920621
5.06,54104.2,22.238745848541644
5.08,54110.2,22.24121206142514
5.09,54116.3,22.243719377856696
5.11,54122.5,22.246267797836307
5.12,54128.7,22.24881621781592
5.13,54135.0,22.251405741343593
5.15,54141.2,22.253954161323204
5.16,54147.5,22.256543684850875
5.18,54153.7,22.259092104830486
5.19,54159.9,22.2616405248101
5.2,54166.1,22.264188944789712
5.22,54172.3,22.266737364769327
5.23,54178.5,22.269285784748938
5.25,54184.6,22.271793101180492
5.26,54190.6,22.27425931406399
5.27,54196.5,22.276684423399427
5.29,54202.4,22.279109532734864
5.3,54208.2,22.281493538522245
5.32,54214.0,22.283877544309625
5.33,54219.6,22.286179343000885
5.34,54225.1,22.288440038144092
5.36,54230.5,22.29065962973924
5.37,54235.8,22.292838117786328
5.39,54240.9,22.294934398737297
5.4,54245.9,22.296989576140213
5.41,54250.8,22.29900364999507
5.43,54255.6,22.300976620301864
5.44,54260.2,22.30286738351254
5.46,54264.7,22.304717043175163
5.47,54269.0,22.30648449574167
5.48,54273.2,22.30821084476012
5.5,54277.2,22.30985498668245
5.51,54281.0,22.311416921508663
5.53,54284.6,22.31289664923876
5.54,54288.1,22.3143352734208
5.55,54291.4,22.315691690506725
5.57,54294.5,22.31696590049653
5.58,54297.4,22.31815790339022
5.6,54300.2,22.31930880273585
5.61,54302.7,22.320336391437305
5.62,54305.1,22.321322876590706
5.64,54307.2,22.32218605109993
5.65,54309.1,22.322967018513037
5.67,54310.9,22.323706882378087
5.68,54312.4,22.32432343559896
5.7,54313.7,22.324857781723715
5.71,54314.8,22.32530992075236
5.72,54315.7,22.325679852684882
5.74,54316.4,22.32596757752129
5.75,54316.8,22.326131991713524
5.77,54317.0,22.32621419880964
5.78,54317.1,22.326255302357698
5.79,54316.8,22.326131991713524
5.81,54316.3,22.325926473973233
5.82,54315.6,22.325638749136825
5.84,54314.6,22.32522771365624
5.85,54313.4,22.324734471079545
5.86,54311.9,22.32411791785867
5.88,54310.2,22.323419157541675
5.89,54308.2,22.32259708658051
5.91,54306.0,22.32169280852323
5.92,54303.6,22.32070632336983
5.93,54300.9,22.31959652757226
5.95,54298.0,22.31840452467857
5.96,54294.8,22.317089211140704
5.98,54291.3,22.315650586958668
5.99,54287.6,22.314129755680508
6.0,54283.6,22.312485613758177
6.02,54279.3,22.310718161191673
6.03,54274.7,22.30882739798099
6.05,54269.9,22.306854427674196
6.06,54264.9,22.304799250271284
6.07,54259.7,22.30266186577225
6.09,54254.2,22.300401170629048
6.1,54248.4,22.298017164841667
6.12,54242.4,22.295550951958173
6.13,54236.1,22.2929614284305
6.14,54229.6,22.290289697806713
6.16,54222.7,22.28745355299069
6.17,54215.6,22.284535201078555
6.19,54208.2,22.281493538522245
6.2,54200.5,22.278328565321758
6.21,54192.6,22.275081385025153
6.23,54184.3,22.27166979053632
6.24,54175.8,22.268175988951366
6.26,54167.0,22.264558876722237
6.27,54157.9,22.260818453848938
6.28,54148.5,22.256954720331457
6.3,54138.7,22.252926572621746
6.31,54128.7,22.24881621781592
6.33,54118.4,22.24458255236592
6.34,54107.7,22.240184472723683
6.36,54096.8,22.235704185985334
6.37,54085.5,22.23105948505475
6.38,54074.0,22.22633257702805
6.4,54062.2,22.22148235835717
6.41,54050.1,22.216508829042123
6.43,54037.7,22.211411989082894
6.44,54025.1,22.206232942027555
6.45,54012.1,22.200889480779978
6.47,53999.0,22.195504915984348
6.48,53985.5,22.18995593699648
6.5,53971.8,22.1843247509125
6.51,53957.6,22.178488047088223
6.52,53943.1,22.172528032619773
6.54,53928.1,22.166362500411033
6.55,53912.8,22.160073657558122
6.57,53897.2,22.153661504061027
6.58,53881.3,22.147126039919765
6.59,53865.4,22.1405905757785
6.61,53849.6,22.134096215185295
6.62,53834.1,22.12772516523626
6.64,53819.1,22.12155963302752
6.65,53804.8,22.11568182565519
6.66,53791.2,22.110091743119263
6.68,53778.5,22.104871592515867
6.69,53766.8,22.10006247739305
6.71,53756.2,22.09570550129887
6.72,53746.6,22.091759560685276
6.74,53738.2,22.08830686264838
6.75,53730.9,22.08530630364013
6.76,53724.7,22.082757883660516
6.78,53719.7,22.0807027062576
6.79,53715.9,22.07914077143139
6.81,53713.5,22.07815428627799
6.82,53712.5,22.077743250797408
6.83,53712.9,22.07790766498964
6.85,53714.6,22.07860642530663
6.86,53717.5,22.07979842820032
6.88,53721.6,22.08148367367071
6.89,53726.6,22.083538851073623
6.9,53732.3,22.085881753312947
6.92,53738.6,22.088471276840615
6.93,53745.3,22.09122521456052
6.95,53752.4,22.094143566472656
6.96,53759.7,22.09714412548091
6.98,53767.2,22.10022689158528
6.99,53774.7,22.10330965768965
7.0,53782.4,22.106474630890137
7.02,53790.1,22.109639604090624
7.03,53797.9,22.11284568083917
7.05,53805.8,22.116092861135773
